Period,Year,Month,Date,Store_ID,Product_Name,Incentive_Rate_THB,Quantity,Incentive_Amount_THB,Status
2025-04,2025,4,2025-04-28,SSA1,AROTIKA Rub SprayPak 60ml BDC,10.0,12,120.0,Official
2025-04,2025,4,2025-04-28,SSA3,AROTIKA Rub SprayPak 60ml BDC,10.0,6,60.0,Official
2025-04,2025,4,2025-04-28,SSA5,AROTIKA Rub SprayPak 60ml BDC,10.0,8,80.0,Official
2025-04,2025,4,2025-04-28,SSA6,AROTIKA Rub SprayPak 60ml BDC,10.0,3,30.0,Official
2025-04,2025,4,2025-04-28,SSA7,AROTIKA Rub SprayPak 60ml BDC,10.0,12,120.0,Official
2025-04,2025,4,2025-04-28,SSA1,AROTIKA Rub Location 80ml,10.0,8,80.0,Official
2025-04,2025,4,2025-04-28,SSA3,AROTIKA Rub Location 80ml,10.0,2,20.0,Official
2025-04,2025,4,2025-04-28,SSA7,AROTIKA Rub Location 80ml,10.0,6,60.0,Official
2025-04,2025,4,2025-04-28,SSA1,Plaivana cream 14% 35g BDC,10.0,16,160.0,Official
2025-04,2025,4,2025-04-28,SSA2,Plaivana cream 14% 35g BDC,10.0,1,10.0,Official
2025-04,2025,4,2025-04-28,SSA3,Plaivana cream 14% 35g BDC,10.0,6,60.0,Official
2025-04,2025,4,2025-04-28,SSA7,Plaivana cream 14% 35g BDC,10.0,8,80.0,Official
2025-04,2025,4,2025-04-28,SSA1,Arotika cool spay 60ml,15.0,17,255.0,Official
2025-04,2025,4,2025-04-28,SSA3,Arotika cool spay 60ml,15.0,6,90.0,Official
2025-04,2025,4,2025-04-28,SSA5,Arotika cool spay 60ml,15.0,6,90.0,Official
2025-04,2025,4,2025-04-28,SSA6,Arotika cool spay 60ml,15.0,10,150.0,Official
2025-04,2025,4,2025-04-28,SSA7,Arotika cool spay 60ml,15.0,11,165.0,Official
2025-04,2025,4,2025-04-28,SSA1,Clenascar gel 15g BDC,10.0,11,110.0,Official
2025-04,2025,4,2025-04-28,SSA2,Clenascar gel 15g BDC,10.0,5,50.0,Official
2025-04,2025,4,2025-04-28,SSA5,Clenascar gel 15g BDC,10.0,5,50.0,Official
2025-04,2025,4,2025-04-28,SSA6,Clenascar gel 15g BDC,10.0,23,230.0,Official
2025-04,2025,4,2025-04-28,SSA7,Clenascar gel 15g BDC,10.0,4,40.0,Official
2025-04,2025,4,2025-04-28,SSA1,Glucosa 1500mg Red Sach1x30,10.0,23,230.0,Official
2025-04,2025,4,2025-04-28,SSA2,Glucosa 1500mg Red Sach1x30,10.0,1,10.0,Official
2025-04,2025,4,2025-04-28,SSA3,Glucosa 1500mg Red Sach1x30,10.0,58,580.0,Official
2025-04,2025,4,2025-04-28,SSA5,Glucosa 1500mg Red Sach1x30,10.0,22,220.0,Official
2025-04,2025,4,2025-04-28,SSA6,Glucosa 1500mg Red Sach1x30,10.0,11,110.0,Official
2025-04,2025,4,2025-04-28,SSA7,Glucosa 1500mg Red Sach1x30,10.0,15,150.0,Official
2025-04,2025,4,2025-04-28,SSA1,Glucosa-500mg Cap/BI BDC,10.0,7,70.0,Official
2025-04,2025,4,2025-04-28,SSA2,Glucosa-500mg Cap/BI BDC,10.0,2,20.0,Official
2025-04,2025,4,2025-04-28,SSA3,Glucosa-500mg Cap/BI BDC,10.0,42,420.0,Official
2025-04,2025,4,2025-04-28,SSA5,Glucosa-500mg Cap/BI BDC,10.0,24,240.0,Official
2025-04,2025,4,2025-04-28,SSA6,Glucosa-500mg Cap/BI BDC,10.0,18,180.0,Official
2025-04,2025,4,2025-04-28,SSA7,Glucosa-500mg Cap/BI BDC,10.0,13,130.0,Official
2025-04,2025,4,2025-04-28,SSA1,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,19,190.0,Official
2025-04,2025,4,2025-04-28,SSA2,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,1,10.0,Official
2025-04,2025,4,2025-04-28,SSA3,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,19,190.0,Official
2025-04,2025,4,2025-04-28,SSA5,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,16,160.0,Official
2025-04,2025,4,2025-04-28,SSA6,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,8,80.0,Official
2025-04,2025,4,2025-04-28,SSA7,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,5,50.0,Official
2025-04,2025,4,2025-04-28,SSA6,Prozeus 15 10Sach,20.0,8,160.0,Official
2025-04,2025,4,2025-04-28,SSA1,Prozeus 15 (ກະປ໋ອງ),40.0,7,280.0,Official
2025-04,2025,4,2025-04-28,SSA3,Prozeus 15 (ກະປ໋ອງ),40.0,1,40.0,Official
2025-04,2025,4,2025-04-28,SSA1,Tristan (etoricoxib) 90mg,3.0,12,36.0,Official
2025-04,2025,4,2025-04-28,SSA3,Tristan (etoricoxib) 90mg,3.0,13,39.0,Official
2025-04,2025,4,2025-04-28,SSA5,Tristan (etoricoxib) 90mg,3.0,39,117.0,Official
2025-04,2025,4,2025-04-28,SSA6,Tristan (etoricoxib) 90mg,3.0,59,177.0,Official
2025-04,2025,4,2025-04-28,SSA7,Tristan (etoricoxib) 90mg,3.0,20,60.0,Official
2025-04,2025,4,2025-04-28,SSA1,Gastro bismol 524,5.0,14,70.0,Official
2025-04,2025,4,2025-04-28,SSA3,Gastro bismol 524,5.0,36,180.0,Official
2025-04,2025,4,2025-04-28,SSA5,Gastro bismol 524,5.0,2,10.0,Official
2025-04,2025,4,2025-04-28,SSA6,Gastro bismol 524,5.0,11,55.0,Official
2025-04,2025,4,2025-04-28,SSA7,Gastro bismol 524,5.0,41,205.0,Official
2025-04,2025,4,2025-04-28,SSA1,Finasteride 1mg (3BI/Box),20.0,42,840.0,Official
2025-04,2025,4,2025-04-28,SSA3,Finasteride 1mg (3BI/Box),20.0,60,1200.0,Official
2025-04,2025,4,2025-04-28,SSA5,Finasteride 1mg (3BI/Box),20.0,18,360.0,Official
2025-04,2025,4,2025-04-28,SSA6,Finasteride 1mg (3BI/Box),20.0,6,120.0,Official
2025-04,2025,4,2025-04-28,SSA7,Finasteride 1mg (3BI/Box),20.0,33,660.0,Official
2025-04,2025,4,2025-04-28,SSA1,Nacoxib 90 mg,10.0,90,900.0,Official
2025-04,2025,4,2025-04-28,SSA2,Nacoxib 90 mg,10.0,12,120.0,Official
2025-04,2025,4,2025-04-28,SSA3,Nacoxib 90 mg,10.0,53,530.0,Official
2025-04,2025,4,2025-04-28,SSA5,Nacoxib 90 mg,10.0,63,630.0,Official
2025-04,2025,4,2025-04-28,SSA6,Nacoxib 90 mg,10.0,27,270.0,Official
2025-04,2025,4,2025-04-28,SSA7,Nacoxib 90 mg,10.0,22,220.0,Official
2025-04,2025,4,2025-04-28,SSA1,Diabederm Cream 10% 35g,10.0,16,160.0,Official
2025-04,2025,4,2025-04-28,SSA2,Diabederm Cream 10% 35g,10.0,1,10.0,Official
2025-04,2025,4,2025-04-28,SSA3,Diabederm Cream 10% 35g,10.0,18,180.0,Official
2025-04,2025,4,2025-04-28,SSA5,Diabederm Cream 10% 35g,10.0,4,40.0,Official
2025-04,2025,4,2025-04-28,SSA6,Diabederm Cream 10% 35g,10.0,17,170.0,Official
2025-04,2025,4,2025-04-28,SSA7,Diabederm Cream 10% 35g,10.0,14,140.0,Official
2025-04,2025,4,2025-04-28,SSA1,Diabederm Cream 20% 35g,10.0,41,410.0,Official
2025-04,2025,4,2025-04-28,SSA3,Diabederm Cream 20% 35g,10.0,21,210.0,Official
2025-04,2025,4,2025-04-28,SSA5,Diabederm Cream 20% 35g,10.0,13,130.0,Official
2025-04,2025,4,2025-04-28,SSA6,Diabederm Cream 20% 35g,10.0,12,120.0,Official
2025-04,2025,4,2025-04-28,SSA7,Diabederm Cream 20% 35g,10.0,18,180.0,Official
2025-05,2025,5,2025-05-28,SSA1,Capsika 0.0125%gel 35g BDC,5.0,45,225.0,Official
2025-05,2025,5,2025-05-28,SSA2,Capsika 0.0125%gel 35g BDC,5.0,1,5.0,Official
2025-05,2025,5,2025-05-28,SSA3,Capsika 0.0125%gel 35g BDC,5.0,12,60.0,Official
2025-05,2025,5,2025-05-28,SSA5,Capsika 0.0125%gel 35g BDC,5.0,1,5.0,Official
2025-05,2025,5,2025-05-28,SSA6,Capsika 0.0125%gel 35g BDC,5.0,18,90.0,Official
2025-05,2025,5,2025-05-28,SSA7,Capsika 0.0125%gel 35g BDC,5.0,53,265.0,Official
2025-05,2025,5,2025-05-28,SSA1,Capsika-25 (0.025%) Gel 35g,5.0,20,100.0,Official
2025-05,2025,5,2025-05-28,SSA2,Capsika-25 (0.025%) Gel 35g,5.0,5,25.0,Official
2025-05,2025,5,2025-05-28,SSA3,Capsika-25 (0.025%) Gel 35g,5.0,15,75.0,Official
2025-05,2025,5,2025-05-28,SSA5,Capsika-25 (0.025%) Gel 35g,5.0,10,50.0,Official
2025-05,2025,5,2025-05-28,SSA7,Capsika-25 (0.025%) Gel 35g,5.0,41,205.0,Official
2025-05,2025,5,2025-05-28,SSA1,Capsika-25 Lotion Spray 100ml,10.0,4,40.0,Official
2025-05,2025,5,2025-05-28,SSA3,Capsika-25 Lotion Spray 100ml,10.0,3,30.0,Official
2025-05,2025,5,2025-05-28,SSA5,Capsika-25 Lotion Spray 100ml,10.0,4,40.0,Official
2025-05,2025,5,2025-05-28,SSA6,Capsika-25 Lotion Spray 100ml,10.0,4,40.0,Official
2025-05,2025,5,2025-05-28,SSA7,Capsika-25 Lotion Spray 100ml,10.0,1,10.0,Official
2025-05,2025,5,2025-05-28,SSA1,AROTIKA Rub 35g BDC,5.0,33,165.0,Official
2025-05,2025,5,2025-05-28,SSA5,AROTIKA Rub 35g BDC,5.0,17,85.0,Official
2025-05,2025,5,2025-05-28,SSA6,AROTIKA Rub 35g BDC,5.0,31,155.0,Official
2025-05,2025,5,2025-05-28,SSA7,AROTIKA Rub 35g BDC,5.0,30,150.0,Official
2025-05,2025,5,2025-05-28,SSA1,AROTIKA Rub SprayPak 60ml BDC,10.0,12,120.0,Official
2025-05,2025,5,2025-05-28,SSA2,AROTIKA Rub SprayPak 60ml BDC,10.0,1,10.0,Official
2025-05,2025,5,2025-05-28,SSA3,AROTIKA Rub SprayPak 60ml BDC,10.0,6,60.0,Official
2025-05,2025,5,2025-05-28,SSA5,AROTIKA Rub SprayPak 60ml BDC,10.0,5,50.0,Official
2025-05,2025,5,2025-05-28,SSA6,AROTIKA Rub SprayPak 60ml BDC,10.0,12,120.0,Official
2025-05,2025,5,2025-05-28,SSA7,AROTIKA Rub SprayPak 60ml BDC,10.0,4,40.0,Official
2025-05,2025,5,2025-05-28,SSA1,AROTIKA Rub Location 80ml,10.0,4,40.0,Official
2025-05,2025,5,2025-05-28,SSA5,AROTIKA Rub Location 80ml,10.0,1,10.0,Official
2025-05,2025,5,2025-05-28,SSA6,AROTIKA Rub Location 80ml,10.0,2,20.0,Official
2025-05,2025,5,2025-05-28,SSA1,Plaivana cream 14% 35g BDC,5.0,13,65.0,Official
2025-05,2025,5,2025-05-28,SSA3,Plaivana cream 14% 35g BDC,5.0,2,10.0,Official
2025-05,2025,5,2025-05-28,SSA5,Plaivana cream 14% 35g BDC,5.0,4,20.0,Official
2025-05,2025,5,2025-05-28,SSA6,Plaivana cream 14% 35g BDC,5.0,2,10.0,Official
2025-05,2025,5,2025-05-28,SSA7,Plaivana cream 14% 35g BDC,5.0,16,80.0,Official
2025-05,2025,5,2025-05-28,SSA1,Arotika cool spay 60ml,10.0,32,320.0,Official
2025-05,2025,5,2025-05-28,SSA2,Arotika cool spay 60ml,10.0,1,10.0,Official
2025-05,2025,5,2025-05-28,SSA3,Arotika cool spay 60ml,10.0,12,120.0,Official
2025-05,2025,5,2025-05-28,SSA5,Arotika cool spay 60ml,10.0,14,140.0,Official
2025-05,2025,5,2025-05-28,SSA6,Arotika cool spay 60ml,10.0,7,70.0,Official
2025-05,2025,5,2025-05-28,SSA7,Arotika cool spay 60ml,10.0,7,70.0,Official
2025-05,2025,5,2025-05-28,SSA1,Clenascar gel 15g BDC,10.0,3,30.0,Official
2025-05,2025,5,2025-05-28,SSA5,Clenascar gel 15g BDC,10.0,9,90.0,Official
2025-05,2025,5,2025-05-28,SSA6,Clenascar gel 15g BDC,10.0,17,170.0,Official
2025-05,2025,5,2025-05-28,SSA7,Clenascar gel 15g BDC,10.0,7,70.0,Official
2025-05,2025,5,2025-05-28,SSA1,Glucosa 1500mg Red Sach1x30,10.0,33,330.0,Official
2025-05,2025,5,2025-05-28,SSA2,Glucosa 1500mg Red Sach1x30,10.0,2,20.0,Official
2025-05,2025,5,2025-05-28,SSA3,Glucosa 1500mg Red Sach1x30,10.0,44,440.0,Official
2025-05,2025,5,2025-05-28,SSA5,Glucosa 1500mg Red Sach1x30,10.0,34,340.0,Official
2025-05,2025,5,2025-05-28,SSA6,Glucosa 1500mg Red Sach1x30,10.0,15,150.0,Official
2025-05,2025,5,2025-05-28,SSA7,Glucosa 1500mg Red Sach1x30,10.0,16,160.0,Official
2025-05,2025,5,2025-05-28,SSA1,Glucosa-500mg Cap/BI BDC,10.0,39,390.0,Official
2025-05,2025,5,2025-05-28,SSA3,Glucosa-500mg Cap/BI BDC,10.0,43,430.0,Official
2025-05,2025,5,2025-05-28,SSA5,Glucosa-500mg Cap/BI BDC,10.0,25,250.0,Official
2025-05,2025,5,2025-05-28,SSA6,Glucosa-500mg Cap/BI BDC,10.0,17,170.0,Official
2025-05,2025,5,2025-05-28,SSA7,Glucosa-500mg Cap/BI BDC,10.0,21,210.0,Official
2025-05,2025,5,2025-05-28,SSA1,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,27,270.0,Official
2025-05,2025,5,2025-05-28,SSA2,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,4,40.0,Official
2025-05,2025,5,2025-05-28,SSA3,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,18,180.0,Official
2025-05,2025,5,2025-05-28,SSA5,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,8,80.0,Official
2025-05,2025,5,2025-05-28,SSA6,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,7,70.0,Official
2025-05,2025,5,2025-05-28,SSA7,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,7,70.0,Official
2025-05,2025,5,2025-05-28,SSA1,Prozeus 15 10Sach,20.0,4,80.0,Official
2025-05,2025,5,2025-05-28,SSA1,Prozeus 15 (ກະປ໋ອງ),40.0,4,160.0,Official
2025-05,2025,5,2025-05-28,SSA1,Tristan (etoricoxib) 90mg,3.0,7,21.0,Official
2025-05,2025,5,2025-05-28,SSA3,Tristan (etoricoxib) 90mg,3.0,17,51.0,Official
2025-05,2025,5,2025-05-28,SSA5,Tristan (etoricoxib) 90mg,3.0,38,114.0,Official
2025-05,2025,5,2025-05-28,SSA6,Tristan (etoricoxib) 90mg,3.0,70,210.0,Official
2025-05,2025,5,2025-05-28,SSA7,Tristan (etoricoxib) 90mg,3.0,36,108.0,Official
2025-05,2025,5,2025-05-28,SSA1,Gastro bismol 524,5.0,34,170.0,Official
2025-05,2025,5,2025-05-28,SSA3,Gastro bismol 524,5.0,44,220.0,Official
2025-05,2025,5,2025-05-28,SSA5,Gastro bismol 524,5.0,25,125.0,Official
2025-05,2025,5,2025-05-28,SSA6,Gastro bismol 524,5.0,23,115.0,Official
2025-05,2025,5,2025-05-28,SSA7,Gastro bismol 524,5.0,83,415.0,Official
2025-05,2025,5,2025-05-28,SSA1,Finasteride 1mg (3BI/Box),20.0,14,280.0,Official
2025-05,2025,5,2025-05-28,SSA3,Finasteride 1mg (3BI/Box),20.0,17,340.0,Official
2025-05,2025,5,2025-05-28,SSA5,Finasteride 1mg (3BI/Box),20.0,12,240.0,Official
2025-05,2025,5,2025-05-28,SSA6,Finasteride 1mg (3BI/Box),20.0,4,80.0,Official
2025-05,2025,5,2025-05-28,SSA7,Finasteride 1mg (3BI/Box),20.0,14,280.0,Official
2025-05,2025,5,2025-05-28,SSA1,Nacoxib 90 mg,10.0,59,590.0,Official
2025-05,2025,5,2025-05-28,SSA2,Nacoxib 90 mg,10.0,10,100.0,Official
2025-05,2025,5,2025-05-28,SSA3,Nacoxib 90 mg,10.0,48,480.0,Official
2025-05,2025,5,2025-05-28,SSA5,Nacoxib 90 mg,10.0,66,660.0,Official
2025-05,2025,5,2025-05-28,SSA6,Nacoxib 90 mg,10.0,27,270.0,Official
2025-05,2025,5,2025-05-28,SSA7,Nacoxib 90 mg,10.0,55,550.0,Official
2025-05,2025,5,2025-05-28,SSA1,Diabederm Cream 10% 35g,5.0,2,10.0,Official
2025-05,2025,5,2025-05-28,SSA2,Diabederm Cream 10% 35g,5.0,3,15.0,Official
2025-05,2025,5,2025-05-28,SSA3,Diabederm Cream 10% 35g,5.0,17,85.0,Official
2025-05,2025,5,2025-05-28,SSA5,Diabederm Cream 10% 35g,5.0,14,70.0,Official
2025-05,2025,5,2025-05-28,SSA7,Diabederm Cream 10% 35g,5.0,27,135.0,Official
2025-05,2025,5,2025-05-28,SSA1,Diabederm Cream 20% 35g,5.0,62,310.0,Official
2025-05,2025,5,2025-05-28,SSA2,Diabederm Cream 20% 35g,5.0,3,15.0,Official
2025-05,2025,5,2025-05-28,SSA3,Diabederm Cream 20% 35g,5.0,5,25.0,Official
2025-05,2025,5,2025-05-28,SSA5,Diabederm Cream 20% 35g,5.0,10,50.0,Official
2025-05,2025,5,2025-05-28,SSA7,Diabederm Cream 20% 35g,5.0,43,215.0,Official
2025-05,2025,5,2025-05-28,SSA1,Zentozide 1x4's,3.0,2,6.0,Official
2025-05,2025,5,2025-05-28,SSA5,Precius 6x10's,25.0,14,350.0,Official
2025-06,2025,6,2025-06-28,SSA1,Capsika 0.0125%gel 35g BDC,5.0,42,210.0,Official
2025-06,2025,6,2025-06-28,SSA2,Capsika 0.0125%gel 35g BDC,5.0,2,10.0,Official
2025-06,2025,6,2025-06-28,SSA3,Capsika 0.0125%gel 35g BDC,5.0,4,20.0,Official
2025-06,2025,6,2025-06-28,SSA5,Capsika 0.0125%gel 35g BDC,5.0,3,15.0,Official
2025-06,2025,6,2025-06-28,SSA6,Capsika 0.0125%gel 35g BDC,5.0,7,35.0,Official
2025-06,2025,6,2025-06-28,SSA7,Capsika 0.0125%gel 35g BDC,5.0,24,120.0,Official
2025-06,2025,6,2025-06-28,SSA1,Capsika-25 (0.025%) Gel 35g,5.0,21,105.0,Official
2025-06,2025,6,2025-06-28,SSA2,Capsika-25 (0.025%) Gel 35g,5.0,7,35.0,Official
2025-06,2025,6,2025-06-28,SSA3,Capsika-25 (0.025%) Gel 35g,5.0,19,95.0,Official
2025-06,2025,6,2025-06-28,SSA5,Capsika-25 (0.025%) Gel 35g,5.0,13,65.0,Official
2025-06,2025,6,2025-06-28,SSA7,Capsika-25 (0.025%) Gel 35g,5.0,24,120.0,Official
2025-06,2025,6,2025-06-28,SSA1,Capsika-25 Lotion Spray 100ml,10.0,7,70.0,Official
2025-06,2025,6,2025-06-28,SSA2,Capsika-25 Lotion Spray 100ml,10.0,1,10.0,Official
2025-06,2025,6,2025-06-28,SSA3,Capsika-25 Lotion Spray 100ml,10.0,5,50.0,Official
2025-06,2025,6,2025-06-28,SSA5,Capsika-25 Lotion Spray 100ml,10.0,8,80.0,Official
2025-06,2025,6,2025-06-28,SSA6,Capsika-25 Lotion Spray 100ml,10.0,3,30.0,Official
2025-06,2025,6,2025-06-28,SSA7,Capsika-25 Lotion Spray 100ml,10.0,4,40.0,Official
2025-06,2025,6,2025-06-28,SSA1,AROTIKA Rub 35g BDC,5.0,20,100.0,Official
2025-06,2025,6,2025-06-28,SSA2,AROTIKA Rub 35g BDC,5.0,1,5.0,Official
2025-06,2025,6,2025-06-28,SSA3,AROTIKA Rub 35g BDC,5.0,3,15.0,Official
2025-06,2025,6,2025-06-28,SSA5,AROTIKA Rub 35g BDC,5.0,8,40.0,Official
2025-06,2025,6,2025-06-28,SSA6,AROTIKA Rub 35g BDC,5.0,7,35.0,Official
2025-06,2025,6,2025-06-28,SSA7,AROTIKA Rub 35g BDC,5.0,20,100.0,Official
2025-06,2025,6,2025-06-28,SSA1,AROTIKA Rub SprayPak 60ml BDC,10.0,13,130.0,Official
2025-06,2025,6,2025-06-28,SSA2,AROTIKA Rub SprayPak 60ml BDC,10.0,3,30.0,Official
2025-06,2025,6,2025-06-28,SSA3,AROTIKA Rub SprayPak 60ml BDC,10.0,6,60.0,Official
2025-06,2025,6,2025-06-28,SSA5,AROTIKA Rub SprayPak 60ml BDC,10.0,17,170.0,Official
2025-06,2025,6,2025-06-28,SSA6,AROTIKA Rub SprayPak 60ml BDC,10.0,10,100.0,Official
2025-06,2025,6,2025-06-28,SSA7,AROTIKA Rub SprayPak 60ml BDC,10.0,9,90.0,Official
2025-06,2025,6,2025-06-28,SSA1,AROTIKA Rub Location 80ml,10.0,5,50.0,Official
2025-06,2025,6,2025-06-28,SSA5,AROTIKA Rub Location 80ml,10.0,3,30.0,Official
2025-06,2025,6,2025-06-28,SSA7,AROTIKA Rub Location 80ml,10.0,3,30.0,Official
2025-06,2025,6,2025-06-28,SSA1,Plaivana cream 14% 35g BDC,5.0,21,105.0,Official
2025-06,2025,6,2025-06-28,SSA3,Plaivana cream 14% 35g BDC,5.0,40,200.0,Official
2025-06,2025,6,2025-06-28,SSA5,Plaivana cream 14% 35g BDC,5.0,8,40.0,Official
2025-06,2025,6,2025-06-28,SSA6,Plaivana cream 14% 35g BDC,5.0,6,30.0,Official
2025-06,2025,6,2025-06-28,SSA7,Plaivana cream 14% 35g BDC,5.0,13,65.0,Official
2025-06,2025,6,2025-06-28,SSA1,Arotika cool spay 60ml,10.0,3,30.0,Official
2025-06,2025,6,2025-06-28,SSA3,Arotika cool spay 60ml,10.0,1,10.0,Official
2025-06,2025,6,2025-06-28,SSA5,Arotika cool spay 60ml,10.0,6,60.0,Official
2025-06,2025,6,2025-06-28,SSA7,Arotika cool spay 60ml,10.0,5,50.0,Official
2025-06,2025,6,2025-06-28,SSA1,Clenascar gel 15g BDC,10.0,4,40.0,Official
2025-06,2025,6,2025-06-28,SSA5,Clenascar gel 15g BDC,10.0,4,40.0,Official
2025-06,2025,6,2025-06-28,SSA6,Clenascar gel 15g BDC,10.0,12,120.0,Official
2025-06,2025,6,2025-06-28,SSA1,Glucosa 1500mg Red Sach1x30,10.0,35,350.0,Official
2025-06,2025,6,2025-06-28,SSA2,Glucosa 1500mg Red Sach1x30,10.0,6,60.0,Official
2025-06,2025,6,2025-06-28,SSA3,Glucosa 1500mg Red Sach1x30,10.0,52,520.0,Official
2025-06,2025,6,2025-06-28,SSA5,Glucosa 1500mg Red Sach1x30,10.0,23,230.0,Official
2025-06,2025,6,2025-06-28,SSA6,Glucosa 1500mg Red Sach1x30,10.0,15,150.0,Official
2025-06,2025,6,2025-06-28,SSA7,Glucosa 1500mg Red Sach1x30,10.0,27,270.0,Official
2025-06,2025,6,2025-06-28,SSA1,Glucosa-500mg Cap/BI BDC,10.0,44,440.0,Official
2025-06,2025,6,2025-06-28,SSA2,Glucosa-500mg Cap/BI BDC,10.0,1,10.0,Official
2025-06,2025,6,2025-06-28,SSA3,Glucosa-500mg Cap/BI BDC,10.0,52,520.0,Official
2025-06,2025,6,2025-06-28,SSA5,Glucosa-500mg Cap/BI BDC,10.0,29,290.0,Official
2025-06,2025,6,2025-06-28,SSA6,Glucosa-500mg Cap/BI BDC,10.0,12,120.0,Official
2025-06,2025,6,2025-06-28,SSA7,Glucosa-500mg Cap/BI BDC,10.0,12,120.0,Official
2025-06,2025,6,2025-06-28,SSA1,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,15,150.0,Official
2025-06,2025,6,2025-06-28,SSA2,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,3,30.0,Official
2025-06,2025,6,2025-06-28,SSA3,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,20,200.0,Official
2025-06,2025,6,2025-06-28,SSA5,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,15,150.0,Official
2025-06,2025,6,2025-06-28,SSA6,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,5,50.0,Official
2025-06,2025,6,2025-06-28,SSA7,Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10.0,8,80.0,Official
2025-06,2025,6,2025-06-28,SSA7,Prozeus 15 10Sach,20.0,6,120.0,Official
2025-06,2025,6,2025-06-28,SSA1,Prozeus 15 (ກະປ໋ອງ),40.0,1,40.0,Official
2025-06,2025,6,2025-06-28,SSA3,Prozeus 15 (ກະປ໋ອງ),40.0,1,40.0,Official
2025-06,2025,6,2025-06-28,SSA5,Prozeus 15 (ກະປ໋ອງ),40.0,1,40.0,Official
2025-06,2025,6,2025-06-28,SSA1,Tristan (etoricoxib) 90mg,3.0,18,54.0,Official
2025-06,2025,6,2025-06-28,SSA3,Tristan (etoricoxib) 90mg,3.0,15,45.0,Official
2025-06,2025,6,2025-06-28,SSA5,Tristan (etoricoxib) 90mg,3.0,29,87.0,Official
2025-06,2025,6,2025-06-28,SSA6,Tristan (etoricoxib) 90mg,3.0,50,150.0,Official
2025-06,2025,6,2025-06-28,SSA7,Tristan (etoricoxib) 90mg,3.0,25,75.0,Official
2025-06,2025,6,2025-06-28,SSA1,Gastro bismol 524,5.0,5,25.0,Official
