Product_SKU,Product_Name_Lao,Product_Name_Thai,Product_Name_PAC,Brand_Group,Is_Strategic,Is_Incentive,Classification,Unit
05108,Clinovir (Acyclovir) 400mg 5Bl/Box BDC,Clinovir (Acyclovir) 400mg 5Bl/Box BDC,Clinovir (Acyclovir) 400mg 5Bl/Box BDC,Clinovir,No,No,General,ແຜງ
08455,Diabe derm cream (10%) 100g BDC,Diabe derm cream (10%) 100g BDC,Diabe derm cream (10%) 100g BDC,Diabederm,Yes,Yes,Strategic,ຫຼອດTub
18911,Fango-BD (ໂຄຕິມາໂຊນ 1% / ເບຕາເມທາໂຊນ 0.1%) ຄຼີມ 5g,Fango-BD (โคลไตรมาโซล 1% / เบทาเมทาโซน 0.1%) ครีม 5g,Fango-BD (Clotrimazole 1% / Betamethasone 0.1%) cream 5g,Fango,Yes,No,Strategic,ຫຼອດTub
10399,Feenoze nasal spray 20ml BDC,Feenoze nasal spray 20ml BDC,Feenoze nasal spray 20ml BDC,Feenoze,No,No,General,ກ້ອງFl
17847,Finasteride 1mg 3Bl/Box,Finasteride 1mg 3Bl/Box,Finasteride 1mg 3Bl/Box,Finasteride,Yes,Yes,Strategic,ແຜງ
17224,Gastro bismol 524,Gastro bismol 524,Gastro bismol 524 10Bl/Box,Gastro-Bismol,Yes,No,Strategic,ແຜງ
03358,Gastrosec (ໂອເມປຼາໂຊນ) 20mg BDC,Gastrosec (โอเมพราโซล) 20mg BDC,Gastrosec (Omeprazole) 20mg BDC,Gastrosec,No,No,General,ກັບ
18422,Hepivir (ຢາປົວໄວຣັສຕັບອັກເສບ ບີ) 0.5mg 3ແຜງ/ກັບ TH,Hepivir (ยารักษาไวรัสตับอักเสบบี) 0.5mg 3แผง/กล่อง TH,Hepivir (Hepatitis B) entecavir 0.5mg 3Bl/Box TH,Hepivir,Yes,No,Strategic,ແຜງ
09178,Kachana (Black) 3Bl/Box BDC,Kachana (Black) 3Bl/Box BDC,Kachana (Black) 3Bl/Box BDC,Kachana,Yes,No,Strategic,ກັບ
09177,Kachana-90 3Bl/Box BDC,Kachana-90 3Bl/Box BDC,Kachana-90 3Bl/Box BDC,Kachana,Yes,No,Strategic,ກັບ
14275,Nacoxib (Etoricoxib) 90mg,Nacoxib (Etoricoxib) 90mg,Nacoxib (Etoricoxib) 90mg,Nacoxib,Yes,Yes,Strategic,ກັບ
18610,Precius (Pregabalin) 75mg 6Bl/Box,Precius (Pregabalin) 75mg 6Bl/Box,Precius (Pregabalin) 75mg 6Bl/Box,Precius,Yes,No,Strategic,ແຜງ
19504,Raqua cleansing gel 80ml,Raqua cleansing gel 80ml,Raqua cleansing gel 80ml,Raqua,Yes,Yes,Strategic,ຫຼອດTub
19503,Raqua glow facce wash 50ml,Raqua glow facce wash 50ml,Raqua glow facce wash 50ml,Raqua,Yes,Yes,Strategic,ຫຼອດTub
05094,Spasium 20mg 10Bl/Box BDC,Spasium 20mg 10Bl/Box BDC,Spasium 20mg 10Bl/Box BDC,Spasium,No,No,General,ແຜງ
17226,Tristan (Etoricoxib) 90mg,Tristan (Etoricoxib) 90mg,Tristan (Etoricoxib) 90mg,Tristan,Yes,Yes,Strategic,ກັບນ້ອຍ
01072,ກາສໂຕ ບິສໂມນ ບົວ 240ml BDC,กาสโตร บิสมอล ชมพู 240ml BDC,Gastro-Bismol Pink 240ml BDC,Gastro-Bismol,Yes,No,Strategic,ກ້ອງFl
01103,ກາຍໂນເຈຊິກ (ເມເຟນາມິກ ອາຊິດ) 500mg 10ແຜງ/ກັບ BDC,ไกโนเจซิค (กรดเมเฟนามิก) 500mg 10แผง/กล่อง BDC,Gynogesic (Mefenamic acid) 500mg 10Bl/Box BDC,Gynogesic,No,No,General,ແຜງ
01102,ກາຍໂນເຈຊິກ (ເມເຟນາມິກ ອາຊິດ) 500mg 500ເມັດ/ປ໋ອງ BDC,ไกโนเจซิค (กรดเมเฟนามิก) 500mg 500เม็ด/กระปุก BDC,Gynogesic ( ) 500mg 500Tab/Bottle BDC,Gynogesic,No,No,General,ປ໋ອງ
01107,ກາຍໂນເວຍ (ອາຊີໂຄເວຍ) ຄຼີມ 5g BDC,ไกโนเวียร์ (อะไซโคลเวียร์) ครีม 5g BDC,Gynovir () Cream 5g BDC,Gynovir,No,No,General,ຫຼອດTub
03883,ກາດສໂຕບີຊາມອນ 10ແຜງ/ກັບ BDC,กาสโตรบิสมอล 10แผง/กล่อง BDC,Gastro-Bismol 10Bl/Box BDC,Gastro-Bismol,Yes,No,Strategic,ແຜງ
03886,"ກູຕີຊິນ (ໂຄຊີຊິນ) 0,6mg 10ແຜງ/ກັບ FML","กูติซิน (โคลชิซิน) 0,6mg 10แผง/กล่อง FML","Guticin () 0,6mg 10Bl/Box FML",Guticin,No,No,General,ແຜງ
03880,ກູລໂກຄຼອນ (ກຼີກຼາຊາຍ) 80mg BDC,กลูโคครอน (กลิคาไซด์) 80mg BDC,Glucocron () 80mg BDC,Glucocron,No,No,General,ແຜງ
03653,ກູລໂກຊາ 1500mg ຄລາຊິກ 30ຊອງ/ກັບ BDC,กลูโคซ่า 1500mg คลาสสิก 30ซอง/กล่อง BDC,Glucosa 1500mg Classic 30Sach/Box BDC,Glucosa,Yes,Yes,Strategic,ກັບ
03654,ກູລໂກຊາ 1500mg ໝາກນາວ 30ຊອງ/ກັບ BDC,กลูโคซ่า 1500mg มะนาว 30ซอง/กล่อง BDC,Glucosa 1500mg lemon 30Sach/Box BDC,Glucosa,Yes,Yes,Strategic,ກັບ
01091,ກູລໂກຊາ 1500mg ແດງ 30ຊອງ/ກັບ BDC,กลูโคซ่า 1500mg สีแดง 30ซอง/กล่อง BDC,Glucosa 1500mg Red 30Sach/Box BDC,Glucosa,Yes,Yes,Strategic,ກັບ
01092,ກູລໂກຊາ 250mg 10ແຜງ/ກັບ BDC,กลูโคซ่า 250mg 10แผง/กล่อง BDC,Glucosa 250mg 10Bl/Box BDC,Glucosa,Yes,Yes,Strategic,ແຜງ
01093,ກູລໂກຊາ 500mg 100ເເຄັບຊູນ/ປ໋ອງ BDC,กลูโคซ่า 500mg 100แคปซูล/กระปุก BDC,Glucosa 500mg 100Cap/Bottle BDC,Glucosa,Yes,Yes,Strategic,ເມັດTab
01094,ກູລໂກຊາ 500mg 10ແຜງ/ກັບ BDC,กลูโคซ่า 500mg 10แผง/กล่อง BDC,Glucosa 500mg 10Bl/Box BDC,Glucosa,Yes,Yes,Strategic,ແຜງ
01086,ກູລໂກແດບ (ກີລປີຊາຍ) 5mg 50ແຜງ/ກັບ BDC,กลูโคแดบ (กลิพิไซด์) 5mg 50แผง/กล่อง BDC,Glucodab () 5mg 50Bl/Box BDC,Glucodab,No,No,General,ແຜງ
17849,ຄາຊ່າ ພລັສ 30ເມັດ/ປ໋ອງ,คาช่า พลัส 30เม็ด/กระปุก,Kachaa Plus 30Tab/Bottle,Kachana,Yes,No,Strategic,ປ໋ອງ
17848,ຄາຊ່າ ໄນໂຕະ 30ເມັດ/ປ໋ອງ,คาช่า ไนโตะ 30เม็ด/กระปุก,Kachaa Nito 30Tab/Bottle,Kachana,Yes,No,Strategic,ປ໋ອງ
05941,ຄີນີວັດ ຄຼີມ 15g BDC,คลีนิเวท ครีม 15g BDC,Klenivet Cream 15g BDC,Klenivet,No,No,General,ຫຼອດTub
05089,ຄີນີວັດ ຄຼີມ 450g BDC,คลีนิเวท ครีม 450g BDC,Klenivet Cream 450g BDC,Klenivet,No,No,General,ກະປຸກ
00660,ຄີນີວັດ ຄຼີມ 5g BDC,คลีนิเวท ครีม 5g BDC,Klenivet Cream 5g BDC,Klenivet,No,No,General,ຫຼອດTub
05942,ຄີນີວັດ-ເອັນ ຄຼີມ 15g BDC,คลีนิเวท-เอ็น ครีม 15g BDC,Clinivate-N cream 15g BDC,Klenivet,No,No,General,ຫຼອດTub
03417,ຄີນີວັດ-ເອັນ ຄຼີມ 450g BDC,คลีนิเวท-เอ็น ครีม 450g BDC,Klenivet-N Cream 450g BDC,Klenivet,No,No,General,ປ໋ອງ
00661,ຄີນີວັດ-ເອັນ ຄຼີມ 5g BDC,คลีนิเวท-เอ็น ครีม 5g BDC,Clinivate-N cream 5g BDC,Klenivet,No,No,General,ຫຼອດTub
00658,ຄີນີເຈວ (ວັດເຊີລິນ) 50g BDC,คลีนิเจล (วาสลิน) 50g BDC,Clinigel (Vaseline) 50g BDC,Clinigel,No,No,General,ຫຼອດTub
00659,ຄີນີເປດ (ເປດນີໂຊໂລນ) ຄຼີມ 5g BDC,คลีนิเปร็ด (เพรดนิโซโลน) ครีม 5g BDC,Klenipred () Cream 5g BDC,Klenipred,No,No,General,ຫຼອດTub
05943,ຄີໂນເດີມ ຄຼີມ 15g BDC,คลีโนเดิร์ม ครีม 15g BDC,Clinoderm cream 15g BDC,Clinoderm,No,No,General,ຫຼອດTub
00664,ຄີໂນເວຍ (ອາຊິດຄໍເວຍ) 200mg BDC,คลีโนเวียร์ (อะไซโคลเวียร์) 200mg BDC,Clinovir (Acidclovir) 200mg BDC,Clinovir,No,No,General,ແຜງ
00663,ຄີໂນເວຍ (ອາຊິດຄໍເວຍ) ຄຼີມ 5g BDC,คลีโนเวียร์ (อะไซโคลเวียร์) ครีม 5g BDC,Clinovir (Acidclovir) cream 5g BDC,Clinovir,No,No,General,ຫຼອດTub
07940,ຄຼີນນາສກາ ເຈວ 15g BDC,คลีนาสการ์ เจล 15g BDC,Clenascar Gel 15g BDC,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
08637,ຄຼີນນາສກາ ເຈວ 7g BDC,คลีนาสการ์ เจล 7g BDC,Clenascar Gel 7g BDC,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
08882,ຄຼີນີເມດ (ຊີເມຕີດິນ) 400mg 500ແຄັບຊູນ/ປ໋ອງ BDC,คลีนิเมด (ไซเมทิดีน) 400mg 500แคปซูล/กระปุก BDC,Klenimed () 400mg 500Cap/Bottle BDC,Klenimed,No,No,General,ປ໋ອງ
07427,ຄຼີນີເມດ (ຊີເມຕີດິນ) 400mg 50ແຜງ/ກັບ BDC,คลีนิเมด (ไซเมทิดีน) 400mg 50แผง/กล่อง BDC,Clinimet (Cimetidine) 400mg 50Bl/Box BDC,Klenimed,No,No,General,ແຜງ
00662,ຄຼີໂນເດີມ (ຄໍເບຕາໂຊນ) ຄຼີມ 5g BDC,คลีโนเดิร์ม (โคลเบทาโซน) ครีม 5g BDC,Clinoderm (Clobetaso) cream 5g BDC,Clinoderm,No,No,General,ຫຼອດTub
03858,ຄຼີໂນເດີມ (ໂຄເບຕາໂຊນ) ຄຼີມ 450g BDC,คลีโนเดิร์ม (โคลเบทาโซน) ครีม 450g BDC,Kleniderm () Cream 450g BDC,Kleniderm,No,No,General,ປ໋ອງ
07998,ຈີ-ບີຊາໂມນ ນໍ້າ (ໝາກກ້ຽງ) 240ml BDC,จี-บิสมอล น้ำ (ส้ม) 240ml BDC,G-Bismol Syr (Orange) 240ml BDC,Gastro-Bismol,Yes,No,Strategic,ກ້ອງFl
07777,ຈີ-ບີຊາໂມນ ນໍ້າ 240ml (ສີບົວ) BDC,จี-บิสมอล น้ำ 240ml (สีชมพู) BDC,Gi-Bismol syrup 240ml (Prink) BDC,Gastro-Bismol,Yes,No,Strategic,ກ້ອງFl
10191,ສປາດໂກປັງ (ບຸດສໂກປັງ) 10mg 500ເມັດ/ປ໋ອງ BDC,สปาสโคแพน (บัสโคแพน) 10mg 500เม็ด/กระปุก BDC,Spascopan (Buscopan) 10mg 500Tab/Bott BDC,Spascopan,No,No,General,ປ໋ອງ
00038,ສປາດໂກປັງ (ບຸດສໂກປັງ) 10mg 500ເມັດ/ປ໋ອງ BDC,สปาสโคแพน (บัสโคแพน) 10mg 500เม็ด/กระปุก BDC,Spascopan () 10mg 500Tab/Bottle BDC,Spascopan,No,No,General,ຖົງ(20)
08283,ສະກິນເຟກ-ບີ ຄຼີມ 5g BDC,สกินเฟก-บี ครีม 5g BDC,Skinfect-B Cream 5g BDC,Skinfect,No,No,General,ຫຼອດTub
05945,ສະກິນເຟັກ (ຊັງຕ້າໄມຊິນ) ຄຼີມ 15g BDC,สกินเฟก (เจนตามัยซิน) ครีม 15g BDC,Skinfect () Cream 15g BDC,Skinfect,No,No,General,ຫຼອດTub
01735,ສະກິນເຟັກ (ຊັງຕ້າໄມຊິນ) ຄຼີມ 5g BDC,สกินเฟก (เจนตามัยซิน) ครีม 5g BDC,Skinfect (Gentamicin) cream 5g BDC,Skinfect,No,No,General,ຫຼອດTub
05254,ສະກິນເຟັກ-ບີ ຄຼີມ 15g BDC,สกินเฟก-บี ครีม 15g BDC,Skinfect-B Cream 15g BDC,Skinfect,No,No,General,ຫຼອດTub
02071,ສະຕູຈິ້ນ (ຊິນນາລີຊິນ) 25mg 1000ເມັດ/ປ໋ອງ BDC,สตูจิน (ซินนาริซีน) 25mg 1000เม็ด/กระปุก BDC,Stugin () 25mg 1000Tab/Bottle BDC,Stugin,No,No,General,ປ໋ອງ
02072,ສະຕູຈິ້ນ (ຊິນນາລີຊິນ) 25mg 50ແຜງ/ກັບ BDC,สตูจิน (ซินนาริซีน) 25mg 50แผง/กล่อง BDC,Stugin (Cinnarizine) 25mg 50Bl/Box BDC,Stugin,No,No,General,ແຜງ
06538,ສະປາດໂກປັງ (ບຸດສໂກປັງ) 10mg 50ແຜງ/ກັບ BDC,สปาสโคแพน (บัสโคแพน) 10mg 50แผง/กล่อง BDC,Spascopan (Buscopan) 10mg 50Bl/Box BDC,Spascopan,No,No,General,ແຜງ
05020,ສະໂປລາຊີວ (ເກໂຕໂກນາໂຊນ) ຄຼີມ 15g BDC,สปอแร็กซิล (คีโตโคนาโซล) ครีม 15g BDC,Sporaxyl (Ketoconasol) cream 15g BDC,Sporosil,No,No,General,ຫຼອດTub
01759,ສະໂປລາຊີວ (ເກໂຕໂກນາໂຊນ) ຄຼີມ 5g BDC,สปอแร็กซิล (คีโตโคนาโซล) ครีม 5g BDC,Sporaxyl (Ketoconasol) cream 5g BDC,Sporosil,No,No,General,ຫຼອດTub
01760,ສະໂປໂລຊີວ (ເກໂຕໂກນາໂຊນ) 200mg 10ເມັດ/ກັບ BDC,สปอโรซิล (คีโตโคนาโซล) 200mg 10เม็ด/กล่อง BDC,Sporosil () 200mg 10Tab/Box BDC,Sporosil,No,No,General,ກັບ
01758,ສະໂປໂລຊີວ (ເກໂຕໂກນາໂຊນ) 200mg 10ແຜງ/ກັບ BDC,สปอโรซิล (คีโตโคนาโซล) 200mg 10แผง/กล่อง BDC,Sporoxyl (Ketoconasol) 200mg 10Bl/Box BDC,Sporosil,No,No,General,ແຜງ
01958,"ຊີໂນ ຄຼີມ 0,02% 15g BDC","ซีโน ครีม 0,02% 15g BDC","Zyno cream 0,02% 15g BDC",Zeno,No,No,General,ຫຼອດTub
01957,"ຊີໂນ ຄຼີມ 0,02% 5g 12ຫຼອດ/ແພັກ BDC","ซีโน ครีม 0,02% 5g 12หลอด/แพ็ค BDC","Zyno cream 0,02% 5g 12Tub/Pack BDC",Zeno,No,No,General,ຫຼອດTub
04220,"ຊີໂນ ຄຼີມ 0,1% 15g BDC","ซีโน ครีม 0,1% 15g BDC","Zyno cream 0,1% 15g BDC",Zeno,No,No,General,ຫຼອດTub
03519,"ຊີໂນ ຄຼີມ 0,1% 5g BDC","ซีโน ครีม 0,1% 5g BDC","Zyno cream 0,1% 5g BDC",Zeno,No,No,General,ຫຼອດTub
00644,ຊີໂປຼຊິນ (ຊີໂປຼໂຟຼຊາຊິນ) 500mg 10ແຜງ/ກັບ FML,ซิโปรซิน (ซิโปรฟลอกซาซิน) 500mg 10แผง/กล่อง FML,Ciproxyl (Ciprofloxacin) 500mg 10Bl/Box FML,Ciprocin,No,No,General,ແຜງ
10397,ຊຸດລ້າງດັງ Cleanoze 250ml,ชุดล้างจมูก Cleanoze 250ml,Cleanoze Nasal Kit Cleanoze 250ml,Cleanoze,No,No,General,ກັບ
00863,ດອມເພີ-ເອັມ (ດອມເພີຣີໂດນ) 10mg BDC,ดอมเพอร์-เอ็ม (ดอมเพอริโดน) 10mg BDC,Domper-M (Domperidone) 10mg BDC,Domper-M,No,No,General,ແຜງ
03871,ດອມເພີ-ເອັມ (ດອມເພີຣີໂດນ) 10mg ເມັດ BDC,ดอมเพอร์-เอ็ม (ดอมเพอริโดน) 10mg เม็ด BDC,Domper-M () 10mg Tab BDC,Domper-M,No,No,General,ເມັດTab
00873,ດົກຊີ ແຄັບ (ດົກຊີຊິນລິນ) 100mg 50ແຜງ/ກັບ BDC,ด็อกซี แคป (ด็อกซีไซคลิน) 100mg 50แผง/กล่อง BDC,Doxy Cap (Doxycycline) 100mg 50Bl/Box BDC,Doxy,No,No,General,ແຜງ
00875,ດົກຊີຊິນລິນ 100mg 500ແຄັບຊູນ/ປ໋ອງ BDC,ด็อกซีไซคลิน 100mg 500แคปซูล/กระปุก BDC,Doxycycline 100mg 500Cap/Bottle BDC,Doxycycline,No,No,General,ປ໋ອງ
01825,ທາໂດນເຈສິກ 50mg 10ແຜງ/ກັບ BDC,ทราดอลเจสิก 50mg 10แผง/กล่อง BDC,Tradolgesic 50mg 10Bl/Box BDC,Tradolgesic,No,No,General,ແຜງ
01826,ທາໂດນເຈສິກ 50mg 500ແຄັບຊູນ/ປ໋ອງ BDC,ทราดอลเจสิก 50mg 500แคปซูล/กระปุก BDC,Tradolgesic 50mg 500Cap/Bottle BDC,Tradolgesic,No,No,General,ແຄັບຊູນ
01477,ນໍຟຼອກຊິນ (ນໍຟຼອກຊາຊິນ) 400mg 10ແຜງ/ກັບ BDC,นอร์ฟล็อกซิน (นอร์ฟล็อกซาซิน) 400mg 10แผง/กล่อง BDC,Norfloxin () 400mg 10Bl/Box BDC,Norfloxin,No,No,General,ແຜງ
01478,ນໍຟຼອກຊິນ (ນໍຟຼອກຊາຊິນ) 400mg 500ເມັດ/ປ໋ອງ BDC,นอร์ฟล็อกซิน (นอร์ฟล็อกซาซิน) 400mg 500เม็ด/กระปุก BDC,Norfloxin () 400mg 500Tab/Bottle BDC,Norfloxin,No,No,General,ປ໋ອງ
00430,ບິນດູເລຕິກ 50mg 50ແຜງ/ກັບ BDC,บินดูเรติก 50mg 50แผง/กล่อง BDC,Binduretic 50mg 50Bl/Box BDC,Binduretic,No,No,General,ແຜງ
00500,ບີ-ທີມິນ 50ແຜງ/ກັບ BDC,บี-ธีมิน 50แผง/กล่อง BDC,B-Themin 50Bl/Box BDC,B-Themin,No,No,General,ແຜງ
00999,ຟາຕຸດຊິນ 10ແຜງ/ກັບ 15mg FML,ฟาตุสซิน 10แผง/กล่อง 15mg FML,Fartussin 10Bl/Box 15mg FML,Fartussin,No,No,General,ແຜງ
01055,"ຟາມາກ໋ອນ 2,5mg 50ແຜງ/ກັບ BDC","ฟาร์มาคอน 2,5mg 50แผง/กล่อง BDC","Pharmacon 2,5mg 50Bl/Box BDC",Pharmacon,No,No,General,ແຜງ
04720,ຟາມາເຊັບ (ເຊຟູໂຣຊິມ) 250mg 10ເມັດ/ແຜງ FML,ฟาร์มาเซฟ (เซฟูรอกซิม) 250mg 10เม็ด/แผง FML,Pharmacef (Cefuroxime) 250mg 10Tab/Bl FML,Pharmacef,No,No,General,ເມັດTab
04191,ຟາມາເຊັບ (ເຊຟູໂຣຊິມ) 500mg 1ແຜງ/ກັບ FML,ฟาร์มาเซฟ (เซฟูรอกซิม) 500mg 1แผง/กล่อง FML,Pharmacef (Cefuroxime) 500mg 1Bl/Box FML,Pharmacef,No,No,General,ເມັດTab
00994,ຟາໂມແທບ (ຟາໂມຕີດິນ) 40mg 500ເມັດ/ປ໋ອງ BDC,ฟาโมแทบ (ฟาโมทิดีน) 40mg 500เม็ด/กระปุก BDC,Famotab () 40mg 500Tab/Bottle BDC,Famotab,No,No,General,ປ໋ອງ
00995,ຟາໂມແທບ (ຟາໂມຕີດິນ) 40mg 50ແຜງ/ກັບ BDC,ฟาโมแทบ (ฟาโมทิดีน) 40mg 50แผง/กล่อง BDC,Famotab () 40mg 50Bl/Box BDC,Famotab,No,No,General,ແຜງ
01042,ຟູນາລີຊິນ 50ແຜງ/ກັບ 5mg BDC,ฟลูนาริซีน 50แผง/กล่อง 5mg BDC,Flunarizine 50Bl/Box 5mg BDC,Flunarizine,No,No,General,ແຜງ
01043,ຟູນາລີຊິນ 5mg 1000ແຄັບຊູນ/ປ໋ອງ BDC,ฟลูนาริซีน 5mg 1000แคปซูล/กระปุก BDC,Flunarizine 5mg 1000Cap/Bottle BDC,Flunarizine,No,No,General,ປ໋ອງ
01382,ມາຍໂກຊິນ 125mg 1000ເມັດ/ປ໋ອງ BDC,ไมโคซิน 125mg 1000เม็ด/กระปุก BDC,Mycosin 125mg 1000Tab/Bottle BDC,Mycosin,No,No,General,ປ໋ອງ
03881,ມາຍໂອລາ (ອາເຊຕາມີໂນ+ຊໍໂຊ) 550mg BDC,ไมโอลา (พาราเซตามอล+คลอร์โซซาโซน) 550mg BDC,Myola (+) 550mg BDC,Myola,No,No,General,ແຜງ
01341,ມູໂຄບ໋ອກ 30mg 50ແຜງ/ກັບ BDC,มิวโคบ็อกซ์ 30mg 50แผง/กล่อง BDC,Mucobox 30mg 50Bl/Box BDC,Mucobox,No,No,General,ແຜງ
01340,ມູໂຄບ໋ອກ 500ເມັດ/ປ໋ອງ BDC,มิวโคบ็อกซ์ 500เม็ด/กระปุก BDC,Mucobox 500Tab/Bottle BDC,Mucobox,No,No,General,ປ໋ອງ
01342,ມູໂຄບ໋ອກ ນໍ້າ 60ml BDC,มิวโคบ็อกซ์ น้ำ 60ml BDC,Mucobox Syr 60ml BDC,Mucobox,No,No,General,ກ້ອງFl
01709,ລ໋ອກຊີໂຕຼຊິນ (ລ໋ອກຊີໂຕຼມາຍຊິນ) 150mg 10ແຜງ/ກັບ BDC,ร็อกซิโทรซิน (ร็อกซิโทรไมซิน) 150mg 10แผง/กล่อง BDC,Roxithromycin () 150mg 10Bl/Box BDC,Roxithromycin,No,No,General,ແຜງ
19685,ອາຊາມິນ (ຕັງຊາມິກ ອາຊິດ) 250mg 50ແຜງ/ກັບ,อากซามิน (กรดทราเนกซามิก) 250mg 50แผง/กล่อง,Axamin (Tranexamic Acid) 250mg 50Bl/Box,Axamin,Yes,No,Strategic,ແຜງ
07226,ອາຊາມິນ 500mg (ຕັງຊາມິກ ອາຊິດ) 500ແຄັບຊູນ/ປ໋ອງ BDC,อากซามิน 500mg (กรดทราเนกซามิก) 500แคปซูล/กระปุก BDC,Axamin 500mg ( ) 500Cap/Bottle BDC,Axamin,Yes,No,Strategic,ເມັດTab
00369,ອານເລີແລ໋ກ-ເອັຟຊີ 10mg 1000ເມັດ/ປ໋ອງ BDC,อัลเลอแร็กซ์-เอฟซี 10mg 1000เม็ด/กระปุก BDC,Allerax-Fc 10mg 1000Tab/Bott BDC,Allerlax,No,No,General,ປ໋ອງ
00368,ອານເລີແລ໋ກ-ເອັຟຊີ 10mg 50ແຜງ/ກັບ BDC,อัลเลอแร็กซ์-เอฟซี 10mg 50แผง/กล่อง BDC,Allerax-Fc 10mg 50Bl/Box BDC,Allerlax,No,No,General,ແຜງ
09966,ເຊພາເລັກຊິນ 500mg 100ແຄັບຊູນ/ປ໋ອງ BCD,เซฟาเลกซิน 500mg 100แคปซูล/กระปุก BCD,Cefalexin 500mg 100Cap/Bottle BCD,Cephalexyl,No,No,General,ປ໋ອງ
08881,ເຊຟ້າເລັກຊິນ 500mg 10ແຜງ/ກັບ BDC,เซฟาเลกซิน 500mg 10แผง/กล่อง BDC,Cefalexin 500mg 10Bl/Box BDC,Cephalexyl,No,No,General,ແຜງ
00611,ເຊຟາເລັກຊິນ 500mg 10ແຜງ/ກັບ BDC,เซฟาเลกซิน 500mg 10แผง/กล่อง BDC,Cefalexin 500mg 10Bl/Box BDC,Cephalexyl,No,No,General,ແຜງ
00610,ເຊຟາເລັກຊິນ 500mg 500ແຄັບຊູນ/ປ໋ອງ BDC,เซฟาเลกซิน 500mg 500แคปซูล/กระปุก BDC,Cefalexin 500mg 500Cap/Bottle BDC,Cephalexyl,No,No,General,ປ໋ອງ
08921,ເຊຟາເລັກຊິລ (ເຊຟາເລັກຊິນ) 500mg 10ແຜງ/ກັບ SAP,เซฟาเลกซิล (เซฟาเลกซิน) 500mg 10แผง/กล่อง SAP,Cephalexyl (Cephalexin) 500mg 10Bl/Box SAP,Cephalexyl,No,No,General,ແຜງ
